package,name,files,has_keys,has_tests
agent-runtime,@repo/agent-runtime,25,False,True
ai,@repo/ai,9,True,False
analytics,@repo/analytics,7,True,False
application,@repo/application,10,False,True
auth,@repo/auth,12,True,True
automation,@repo/automation,9,False,True
billing,@repo/billing,19,False,True
cms,@repo/cms,8,False,False
collaboration,@repo/collaboration,7,True,False
database,@repo/database,21,True,True
design-system,@repo/design-system,64,False,False
design-tokens,@repo/design-tokens,15,False,True
domain,@repo/domain,9,False,True
email,@repo/email,5,True,False
feature-flags,@repo/feature-flags,8,True,False
integrations,@repo/integrations,26,True,True
internationalization,@repo/internationalization,14,False,False
mapa-os,@repo/mapa-os,14,False,True
mcp,@repo/mcp,18,False,True
next-config,@repo/next-config,4,True,False
notifications,@repo/notifications,7,True,False
observability,@repo/observability,25,True,True
payments,@repo/payments,5,True,False
rate-limit,@repo/rate-limit,4,True,False
reports,@repo/reports,9,False,True
routines,@repo/routines,18,False,True
scanner,@repo/scanner,25,False,True
schemas,@repo/schemas,14,False,True
security,@repo/security,5,True,False
seo,@repo/seo,4,False,False
storage,@repo/storage,5,True,False
typescript-config,@repo/typescript-config,4,False,False
webhooks,@repo/webhooks,5,True,False
